source,target,weight,symptom
27,72,1,NaN
32,72,109,NaN
15,72,5,NaN
54,72,17,NaN
36,63,2,NaN
15,69,3,NaN
27,60,1,NaN
60,70,1,NaN
15,60,12,NaN
64,80,2,NaN
2,61,30,NaN
16,61,73,NaN
57,61,84,NaN
61,63,90,NaN
58,61,40,NaN
11,61,51,NaN
11,15,11,NaN
5,32,6,NaN
32,79,6,NaN
34,46,2,NaN
11,27,10,NaN
37,72,6,NaN
9,37,7,NaN
32,37,3,NaN
37,78,3,NaN
27,31,80,NaN
31,80,9,NaN
37,49,1,NaN
11,70,3,NaN
11,31,12,NaN
31,42,73,NaN
31,59,78,NaN
31,79,1,NaN
31,33,7,NaN
31,34,1,NaN
12,37,20,NaN
31,46,5,NaN
46,61,40,NaN
1,46,37,NaN
37,46,1,NaN
20,61,2,NaN
36,61,5,NaN
5,70,2,NaN
31,58,6,NaN
5,45,2,NaN
45,68,2,NaN
31,44,1,NaN
61,80,1,NaN
31,61,3,NaN
27,61,1,NaN
61,70,2,NaN
31,47,1,NaN
