source,target,weight,symptom
67,75,8,NaN
24,64,205,NaN
21,24,28,NaN
16,24,51,NaN
52,75,2,NaN
16,70,268,NaN
42,55,2,NaN
20,55,1,NaN
55,59,1,NaN
16,63,16,NaN
35,76,12,NaN
43,76,2,NaN
72,76,27,NaN
1,20,8,NaN
43,71,29,NaN
71,72,2,NaN
1,24,128,NaN
27,52,12,NaN
16,58,14,NaN
24,58,4,NaN
58,59,2,NaN
58,64,15,NaN
58,70,23,NaN
27,58,1,NaN
1,21,9,NaN
1,63,233,NaN
1,27,2,NaN
24,30,5,NaN
30,52,4,NaN
10,78,486,NaN
72,78,63,NaN
40,76,1,NaN
68,76,1,NaN
21,71,24,NaN
31,43,13,NaN
30,44,6,NaN
30,63,5,NaN
12,72,1,NaN
18,72,71,NaN
16,71,3,NaN
49,78,3,NaN
76,78,1,NaN
31,79,6,NaN
78,79,3,NaN
61,64,2,NaN
59,61,1,NaN
46,78,4,NaN
75,78,11,NaN
24,59,3,NaN
60,75,1,NaN
64,69,5,NaN
40,64,2,NaN
49,64,11,NaN
64,72,2,NaN
64,78,3,NaN
30,57,1,NaN
24,61,19,NaN
32,35,3,NaN
32,40,2,NaN
32,49,5,NaN
32,69,8,NaN
32,72,5,NaN
32,79,4,NaN
32,68,1,NaN
32,78,1,NaN
5,32,1,NaN
40,60,6,NaN
4,21,3,NaN
4,64,47,NaN
4,70,1,NaN
4,31,5,NaN
24,80,25,NaN
36,61,2,NaN
10,59,4,NaN
11,21,12,NaN
46,61,2,NaN
4,76,1,NaN
63,72,34,NaN
16,61,1,NaN
21,61,1,NaN
61,70,1,NaN
31,61,1,NaN
10,54,1,NaN
24,36,82,NaN
60,72,2,NaN
10,60,1,NaN
20,46,1,NaN
60,69,9,NaN
46,49,5,NaN
67,80,2,NaN
16,60,6,NaN
69,70,1,NaN
21,58,26,NaN
34,58,1,NaN
42,58,7,NaN
10,80,1,NaN
21,80,8,NaN
42,80,23,NaN
47,80,34,NaN
29,71,10,NaN
16,40,1,NaN
11,58,10,NaN
11,70,6,NaN
1,70,3,NaN
1,64,2,NaN
7,71,2,NaN
43,59,3,NaN
2,80,1,NaN
18,43,5,NaN
9,72,6,NaN
59,68,1,NaN
5,9,7,NaN
9,79,7,NaN
70,71,1,NaN
5,31,1,NaN
6,64,4,NaN
6,33,1,NaN
6,42,12,NaN
6,59,12,NaN
6,16,7,NaN
6,31,12,NaN
6,24,6,NaN
9,18,5,NaN
67,69,2,NaN
28,58,4,NaN
59,63,4,NaN
18,69,2,NaN
9,10,49,NaN
9,69,72,NaN
28,40,4,NaN
28,69,8,NaN
28,72,10,NaN
10,28,7,NaN
5,28,3,NaN
28,79,7,NaN
18,28,2,NaN
45,72,21,NaN
28,47,5,NaN
28,36,1,NaN
28,42,4,NaN
28,46,3,NaN
28,59,2,NaN
28,63,1,NaN
28,64,1,NaN
28,34,1,NaN
28,45,1,NaN
9,28,1,NaN
5,59,1,NaN
59,79,1,NaN
44,47,14,NaN
10,52,1,NaN
52,64,1,NaN
5,70,1,NaN
22,60,61,NaN
8,20,10,NaN
8,21,87,NaN
8,42,15,NaN
8,59,17,NaN
8,47,36,NaN
8,16,86,NaN
8,70,97,NaN
8,52,4,NaN
8,9,1,NaN
36,49,154,NaN
8,31,77,NaN
8,27,73,NaN
4,36,24,NaN
8,71,1,NaN
36,52,2,NaN
8,64,28,NaN
11,22,4,NaN
33,36,12,NaN
2,36,2,NaN
22,32,7,NaN
32,60,1,NaN
